Reporte Valor Cuota,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Fecha y Hora de generaci󮺠04/07/2024 02:29:24 p.m.,,,,,,,,,,,,,,,,
Fondo: FONDO OPERATIVO,,,,,,,,,,,,,,,,
Fecha Inicio: 1 de Enero del 2014,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tipo Fondo,Fondo Mutuo,Administradora,Fec. Inicio Operación,Moneda Cuota,Valor Cuota,Variacion desde el Inicio del 2014,Rentabilidad(A) 2013,Rentabilidad(A) 2012,Rentabilidad(A) 2011,Rentabilidad(A) 2010,Rentabilidad(A) 2009,Patrimonio S/.,Patrimonio %,Partícipes N,Partícipes %,Inf. Atrasada
01 - Renta Variable,CREDICORP ACCIONES GLOBAL CREDIFONDO SAF,CREDIFONDO SAF,25/03/2013,$,108.141103,-0.01%,7.83%,,,,,"22,520,912.96",0.14%,125,0.04%,1/1/14
01 - Renta Variable,CREDICORP CAPITAL ACCIONES CREDIFONDO SAF,CREDIFONDO SAF,17/01/2007,$,142.1087108,-0.01%,-22.01%,16.03%,-25.70%,68.24%,72.10%,"139,032,608.22",0.84%,"1,928.00",0.62%,1/1/14
01 - Renta Variable,DIVISO ACCIONES DIVISO FONDOS SAF S.A.,DIVISO FONDOS SAF S.A.,9/7/12,$,85.372594,-0.01%,-15.06%,1.70%,,,,"861,061.32",0.01%,66,0.02%,1/1/14
01 - Renta Variable,IF ACCIONES INTERFONDO,INTERFONDO,19/01/2007,S/.,84.692,-0.01%,-18.53%,-1.45%,-25.75%,39.09%,35.02%,"32,005,523.34",0.19%,"2,273.00",0.73%,1/1/14
01 - Renta Variable,Promoinvest Fondo Selectivo PROMOINVEST SAF,PROMOINVEST SAF,14/01/1999,$,4.8012997,-0.02%,-30.26%,9.06%,-19.90%,43.76%,75.81%,"12,693,989.69",0.08%,698,0.22%,1/1/14
01 - Renta Variable,PROMOINVEST INCASOL PROMOINVEST SAF,PROMOINVEST SAF,11/8/08,S/.,0.87154198,-0.02%,-20.75%,-2.64%,-20.65%,38.68%,44.60%,"1,876,992.67",0.01%,199,0.06%,1/1/14
01 - Renta Variable,SCOTIA FONDO ACCIONES SCOTIA FONDOS,SCOTIA FONDOS,2/4/08,S/.,10.97078584,-0.01%,-12.56%,8.95%,-21.42%,45.69%,49.63%,"30,092,869.16",0.18%,"1,010.00",0.32%,1/1/14
01 - Renta Variable,SURA ACCIONES FONDOS SURA SAF,FONDOS SURA SAF,22/01/2007,S/.,10.3074437,-0.02%,-22.04%,4.00%,-24.22%,57.92%,54.58%,"94,904,645.81",0.57%,"2,574.00",0.82%,1/1/14
01 - Renta Variable,SURA MERCADOS INTEGRADOS FONDOS SURA SAF,FONDOS SURA SAF,1/6/11,$,6.7751238,-0.01%,-25.05%,8.94%,-16.80%,,,"4,627,362.42",0.03%,158,0.05%,1/1/14
08 - Internacional,IF INTERNACIONAL INTERFONDO,INTERFONDO,19/02/2004,$,123.809,-0.01%,-0.40%,3.08%,-20.86%,2.60%,18.32%,"2,237,413.29",0.01%,98,0.03%,1/1/14
14 - Renta Mixta Crecimiento Soles,BBVA CRECIMIENTO SOLES CONTINENTAL FM,CONTINENTAL FM,27/03/2007,S/.,122.6184047,-0.01%,-10.98%,6.42%,-15.73%,34.79%,14.52%,"9,258,335.37",0.06%,367,0.12%,1/1/14
